CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0020,CRIM_Mass_0020_1,1,1,26,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_1,2,27,51,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_1,3,52,80,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,1,1,11,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,2,11,13,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,3,13,15,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,4,15,18,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,5,18,21,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,6,21,31,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,7,30,39,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,8,38,46,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,9,45,56,1,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,10,57,63,2,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,11,63,72,2,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,12,71,78,2,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,13,77,81,2,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,14,81,83,2,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,15,83,91,2,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,16,91,112,2,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_2,17,96,113,2,Amen.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,1,1,16,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,2,14,26,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,3,26,32,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,4,31,40,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,5,40,45,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,6,45,49,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,7,48,62,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,8,63,76,2,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,9,77,83,2,Et homo factus est.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,10,84,88,3,Crucifixus etiam pro nobis: ,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,11,87,98,3,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,12,98,103,3,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,13,103,108,3,Et ascendit in caelum:,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,14,106,120,3,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,15,121,131,4,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,16,129,135,4,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,17,135,141,4,"Et in Spiritum Sanctum, Dominum, et vivificantem:",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,18,140,145,4,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,19,145,154,4,"Qui cum Patre et Filio simul adoratur, et conglorificatur: ",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,20,154,159,4,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,21,158,168,4,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,22,168,178,4,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,23,179,185,4,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,24,184,209,4,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_3,25,194,210,4,Amen.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_4,1,1,17,1,Sanctus Dominus Deus Sabaoth.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_4,2,16,28,1,Pleni sunt caeli et terra gloria tua.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_4,3,29,55,2,Hosanna in excelsis.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_4,4,56,89,3,Benedictus qui venit in nomine Domini.,,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_5,1,1,17,1,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,CRIM_Mass_0020,CRIM_Mass_0020_5,2,16,36,1,miserere nobis.,,,,,,,,
,,,,,,,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,,,,,,,miserere nobis.,,,,,,,,
,,,,,,,"Agnus Dei, qui tollis peccata mundi: ",,,,,,,,
,,,,,,,dona nobis pacem.,,,,,,,,
