CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0002,CRIM_Mass_0002_1,1,1,21,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_1,2,22,42,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_1,3,43,67,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,1,1,9,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,2,7,11,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,3,9,13,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,4,12,15,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,5,14,18,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,6,17,28,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,7,27,37,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,8,34,47,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,9,45,60,1,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,10,61,72,2,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,11,69,82,2,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,12,81,89,2,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,13,88,92,2,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,14,90,95,2,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,15,95,104,2,"Tu solus Altissimus, Iesu Christe.",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,16,101,113,2,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_2,17,112,122,2,Amen.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_3,1,1,15,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_3,2,13,23,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_3,3,22,30,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_3,4,28,36,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_3,5,35,43,1,"Genitum, non factum, consubstantialem Patri:",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_3,6,41,45,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_3,7,44,57,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_3,8,54,67,1,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_3,9,67,73,1,Et homo factus est.,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_3,10,74,80,2,Crucifixus etiam pro nobis: ,,,,,,,,
,CRIM_Mass_0002,CRIM_Mass_0002_3,11,80,88,2,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
