CRIM_Phrase_ID,CRIM_Mass_ID,Mass_Section_ID,Section_Phrase_Number,Start_Measure,Stop_Measure,End of section,Text,,,,,,,,
a preciser dans la liste complete!,CRIM_Mass_0004,CRIM_Mass_0004_1,1,1,13,1,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_1,2,14,32,2,Christe eleison.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_1,3,33,51,3,Kyrie eleison.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,1,1,15,1,Et in terra pax hominibus bonae voluntatis.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,2,14,20,1,Laudamus te.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,3,20,24,1,Benedicimus te.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,4,24,27,1,Adoramus te.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,5,27,33,1,Glorificamus te.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,6,33,46,1,Gratias agimus tibi propter magnam gloriam tuam.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,7,47,65,1,"Domine Deus, Rex caelestis, Deus Pater omnipotens.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,8,63,75,1,Domine Fili unigenite Iesu Christe.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,9,73,83,1,"Spiritus et almae, orphanorum paraclyte.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,10,84,105,2,"Domine Deus, Agnus Dei, Filius Patris.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,11,105,117,2,Primogenitus Mariae virginis Matris.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,12,118,135,3,"Qui tollis peccata mundi, miserere nobis.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,13,129,144,3,"Qui tollis peccata mundi, suscipe deprecationem nostram.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,14,143,150,3,Ad Mariae gloriam.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,15,147,164,3,"Qui sedes ad dexteram Patris, miserere nobis.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,16,162,170,3,Quoniam tu solus sanctus.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,17,168,174,3,Mariam sanctificans.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,18,173,176,3,Tu solus Dominus.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,19,174,178,3,Mariam gubernans.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,20,177,192,3,"Tu solus Altissimus, Mariam coronans, Iesu Christe.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,21,192,207,3,"Cum Sancto Spiritu, in gloria Dei Patris.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_2,22,207,220,3,Amen.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,1,1,20,1,"Patrem omnipotentem, factorem caeli et terrae, visibilium omnium, et invisibilium.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,2,20,31,1,"Et in unum Dominum Iesum Christum, Filium Dei unigenitum.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,3,31,42,1,Et ex Patre natum ante omnia saecula.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,4,42,54,1,"Deum de Deo, lumen de lumine, Deum verum de Deo vero.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,5,53,60,1,"Genitum, non factum, consubstantialem Patri: ",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,6,60,66,1,per quem omnia facta sunt.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,7,65,81,1,"Qui propter non homines, et propter nostram salutem descendit de caelis.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,8,82,93,2,Et incarnatus est de Spiritu Sancto ex Maria Virgine:,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,9,93,99,2,Et homo factus est.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,10,100,104,3,Crucifixus etiam pro nobis:,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,11,104,117,3,"sub Pontio Pilato passus, et sepultus est.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,12,118,130,4,"Et resurrexit tertia die, secundum Scripturas.",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,13,130,135,4,Et ascendit in caelum: ,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,14,133,139,4,sedet ad dexteram Patris.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,15,139,152,4,"Et iterum venturus est cum gloria, iudicare vivos et mortuos:",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,16,152,159,4,cuius regni non erit finis.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,17,160,167,5,"Et in Spiritum Sanctum, Dominum, et vivificantem: ",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,18,167,171,5,qui ex Patre Filioque procedit.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,19,171,183,5,"Qui cum Patre et Filio simul adoratur, et conglorificatur:",,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,20,183,188,5,qui locutus est per Prophetas.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,21,188,196,5,Et unam sanctam catholicam et apostolicam Ecclesiam.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,22,197,213,5,Confiteor unum baptisma in remissionem peccatorum.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,23,213,219,5,Et expecto resurrectionem mortuorum.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,24,218,233,5,Et vitam venturi saeculi.,,,,,,,,
,CRIM_Mass_0004,CRIM_Mass_0004_3,25,232,243,5,Amen.,,,,,,,,
